Started: 2026-08-21T04:21:30Z
ROUND 1 total=137 visible=25 active=4188aace-2682-424b-95b3-0ef345c99bbe
DELETED 632e469b-b22c-4e51-abb0-396a5de6a879
DELETED f0e10d83-f29b-451e-a758-3a03283dbee1
DELETED e862f141-a0eb-412e-8ec4-ea48fe9164a1
DELETED 17be3e3d-003d-477a-acb4-053bca737234
DELETED 1813a88c-959c-4ebc-a6be-2bd935a5d129
DELETED 1f6f7e20-e9a6-45b2-a54f-ad4511568836
DELETED 7514e135-2cd6-4ae1-b9b5-0589a237b4f9
DELETED 71c07934-758e-4f33-a310-e905c69d20bb
DELETED 8f6f44d2-62a3-4825-bb91-77830a939986
DELETED d67043db-a185-4d0d-87f9-4cd50faedfc4
DELETED 17595f54-5ec9-4d54-b330-623d6ab1e7b5
DELETED c4972fc3-a9f6-4d16-aa5c-9f8b9d3ff217
DELETED 2adc6861-9662-4485-aa10-99461cc2f995
DELETED e4e88a81-acbe-4bdd-8c6e-f436cdeee394
DELETED cda2b200-774b-43db-bfa7-34823e734bba
DELETED e65b1cf9-7e22-4d14-81bb-62bdc8d70d63
DELETED e785e163-0e9f-4772-8621-08a66a046483
DELETED 60b71e2b-a3d5-4b37-aadf-b3609e306a2a
DELETED fd7246e5-f995-431c-9fd2-839c6cb04735
DELETED 91d07ad7-8a4a-4fa8-b199-151d1a086948
DELETED 51489e10-3b46-4490-9944-3edc5404d8de
DELETED 39d599d6-8ed2-4ae4-b435-782bb0a8a179
DELETED 7bc0c251-ab73-4443-b2eb-ea64076bad96
DELETED 4290efc7-a0af-4906-9343-43c905d8f09f
ROUND 2 total=113 visible=25 active=4188aace-2682-424b-95b3-0ef345c99bbe
DELETED 9e33814e-45ff-4643-9bfc-9583303c328b
DELETED db6f5839-1b36-42cb-bc0b-7e65c6fc15a2
DELETED ae4062f1-2ce5-410a-a4a3-125357920336
DELETED 37c27e8b-5ab1-49e3-89f1-08f17f812d40
DELETED 2b61e54f-15a5-4f39-9b9c-abc9fd27f620
DELETED da49f96d-d45c-4184-86d6-def07c7cb5dd
DELETED adfdb8ab-973c-45e9-9552-6a93a027b74e
DELETED 653612f0-3783-44e2-ab29-fbaa8044c7cf
DELETED f2a16590-f804-4b76-b60c-ebd017ff992c
DELETED 496599f2-9e43-4e31-88ba-2d550ab2a53e
DELETED f6a8088a-83d3-4fd5-a117-065942a97d4c
DELETED b7464a22-742e-4426-9ab9-996e46d157e8
DELETED 56467f43-32d2-4202-b2b7-1d511987c422
DELETED ba0d15b0-503b-41d6-a236-421d261b3add
DELETED 2390963e-5f20-42c7-b189-88d189baf238
DELETED 09ecf39e-d79c-41e9-9cbb-828dcbf90a23
DELETED 859fb9b0-ce25-4975-b54c-a9110ab1b028
DELETED a7e2bbe1-5766-4a2c-abea-a20673139694
DELETED 48ef687b-6a80-494c-87cc-5380465d7f4f
DELETED 18823007-5370-4ae0-83ab-daac3670ab0d
DELETED ba684bc9-fbe0-45ab-a429-dded18f05af4
DELETED 02e9de52-66a6-41b2-b85e-88771be93458
DELETED 6cb61913-ad43-4378-a584-73bd1b240db5
DELETED 99f73e98-0ff2-4a84-b63b-e48315835125
ROUND 3 total=89 visible=25 active=4188aace-2682-424b-95b3-0ef345c99bbe
DELETED 3de3d430-7ece-451a-9c7d-1bf9d8c40e19
DELETED 78705d38-50c7-4933-97f4-361245e40500
DELETED e74011e2-ee39-4fa6-9660-f640eae1024c
DELETED f3e92dab-1354-4fbb-bdd9-575b0948d183
DELETED 7b6588c5-710c-4b94-9542-5ea7fecd3cd1
DELETED e98ce9ff-c35d-465f-9b60-d8019922ce8f
DELETED 21f2e166-00ac-436b-ab8f-7d9f3ec92193
DELETED 9a1ad587-8a02-40d6-9b85-72a3ada86e92
DELETED 4b74ae1c-e4a0-4f5d-be33-5e280069ff86
DELETED 84b047db-79fc-4b55-b4af-9c428cf28bca
DELETED 20e14e80-ee0d-432f-ba9b-01eb84796f03
DELETED 6a50a68f-905a-408d-9f3a-d40d190a2c25
DELETED 9c3d23e9-b358-4139-ba84-c0a3bcec3e79
DELETED 882161b0-d539-4eba-a797-bf2cab361697
DELETED bb5f878e-5e85-4424-a2ae-4f9159bfe8a1
DELETED 29a32ade-e318-4780-a006-05c3843be851
DELETED a830faed-54a5-4fa4-a776-ce9c88913447
DELETED 3386d3d3-e865-43fe-9202-b48314c2bc46
DELETED 77679aae-1152-44ce-8dae-02eb0300c5ff
DELETED eb626d45-f581-4379-9629-2a40de321fbc
DELETED e733630e-b245-47da-a5f5-b0e9422eeaa6
DELETED f21f416a-c980-4bd0-9de6-725410572e02
DELETED 0b803b82-0456-412f-b2ab-c16b187bda97
DELETED bd3cf8ef-29a6-44ea-9b65-4e53f25b92bf
ROUND 4 total=65 visible=25 active=4188aace-2682-424b-95b3-0ef345c99bbe
DELETED d2b5efa1-f813-405c-9903-56ac7c9a4f24
DELETED 99d3325a-99ba-4844-b0e5-d57670474638
DELETED a5b6581a-5460-473d-b414-3afed9966f96
DELETED 297ef359-f3f2-4090-96ea-1d021b9b929c
DELETED d707018c-624b-4bed-8217-68c74f91c75a
DELETED ccbd2653-6e01-4e36-bb88-a0a33e346b43
DELETED d2b502d8-41ef-4dee-8227-68ee589310e8
DELETED 421fe175-f09d-4805-a81a-9b16e38005ac
DELETED c20454ad-5f80-4155-bcef-0f7597758e1a
DELETED ca274c5a-7d4d-44f2-8967-53c011f2ce64
DELETED ffb254a8-a3da-4a4c-93be-c7a3d85fec35
DELETED 8357cbcd-2aad-44d7-be4b-a30b32d995f5
